prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,inhaler
10740141000033110,31063411000001101,Fostair 200micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd),Fostair 200micrograms/dose / 6micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate/ Formoterol fumarate dihydrate,200.000microgram + 6.000microgram,,laba-ics
1143041000033117,2924111000001109,Pulmicort 200micrograms/dose inhaler (AstraZeneca UK Ltd),Pulmicort 200micrograms/dose inhaler, Pressurised inhalation,Inhalation,Budesonide,200.000microgram/1.000dose,,ics
1143141000033118,3240911000001108,Pulmicort LS 50micrograms/dose inhaler (AstraZeneca UK Ltd),Pulmicort LS 50micrograms/dose inhaler, Pressurised inhalation,Inhalation,Budesonide,50.000microgram/1.000dose,,ics
1144241000033110,,Pulmicort  Refill canister  200 micrograms/dose,,,,,,,ics
1144341000033117,,Pulmicort Ls  Refill canister  50 micrograms/dose,,,,,,,ics
1144841000033114,,Pulmicort  Spacer inhaler  200 micrograms/dose,,,,,,,ics
1144941000033118,,Pulmicort  Spacer inhaler  50 micrograms/dose,,,,,,,ics
1145141000033119,3112411000001105,Pulmicort 200 Turbohaler (AstraZeneca UK Ltd),Pulmicort 200 Turbohaler,Inhalation powder,Inhalation,Budesonide,200.000microgram/1.000dose,,ics
1145241000033114,3228711000001106,Pulmicort 400 Turbohaler (AstraZeneca UK Ltd),Pulmicort 400 Turbohaler,Inhalation powder,Inhalation,Budesonide,400.000microgram/1.000dose,,ics
1145341000033116,3113111000001106,Pulmicort 100 Turbohaler (AstraZeneca UK Ltd),Pulmicort 100 Turbohaler,Inhalation powder,Inhalation,Budesonide,100.000microgram/1.000dose,,ics
11707241000033115,32960711000001105,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free, Pressurised inhalation,Inhalation,Budesonide/ Formoterol fumarate dihydrate,200.000microgram/1.000dose + 6.000microgram/1.000dose,3020000,laba-ics
11707341000033113,32926011000001100,Symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler (AstraZeneca UK Ltd),Symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler, Pressurised inhalation,Inhalation,Budesonide/ Formoterol fumarate dihydrate,200.000microgram/1.000dose + 6.000microgram/1.000dose,,laba-ics
11782841000033117,33561211000001109,Soltel 25micrograms/dose inhaler CFC free (Cipla EU Ltd),Soltel 25micrograms/dose inhaler CFC free, Pressurised inhalation,Inhalation,Salmeterol xinafoate,25.000microgram/1.000dose,,laba
11788941000033110,33596311000001107,Tiotropium bromide 10microgram inhalation powder capsules with device,Tiotropium bromide 10microgram inhalation powder capsules with device,Inhalation powder,Inhalation,Tiotropium bromide,10.000microgram,3010200,lama
11789041000033118,33594911000001100,Braltus 10microgram inhalation powder capsules with Zonda inhaler (Teva UK Ltd),Braltus 10microgram inhalation powder capsules with Zonda inhaler,Inhalation powder,Inhalation,Tiotropium bromide,10.000microgram,,lama
11899741000033117,33679711000001103,Aerivio Spiromax 50micrograms/dose / 500micrograms/dose dry powder inhaler (Teva UK Ltd),Aerivio Spiromax 50micrograms/dose / 500micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,500.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
12046641000033114,34023611000001101,Sereflo 25micrograms/dose / 125micrograms/dose inhaler (Cipla EU Ltd),Sereflo 25micrograms/dose / 125micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,125.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
12046741000033117,34023811000001102,Sereflo 25micrograms/dose / 250micrograms/dose inhaler (Cipla EU Ltd),Sereflo 25micrograms/dose / 250micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,250.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
1206341000033118,39110811000001105,Salmeterol 25micrograms/dose inhaler,Salmeterol 25micrograms/dose inhaler, Pressurised inhalation,Inhalation,Salmeterol xinafoate,25.000microgram/1.000dose,3010101,laba
121641000033112,3180211000001107,Becloforte 250micrograms/dose inhaler (GlaxoSmithKline UK Ltd),Becloforte 250micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,250.000microgram/1.000dose,,ics
12197841000033113,34215311000001107,AirFluSal 25micrograms/dose / 125micrograms/dose inhaler (Sandoz Ltd),AirFluSal 25micrograms/dose / 125micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,125.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
12197941000033117,34215511000001101,AirFluSal 25micrograms/dose / 250micrograms/dose inhaler (Sandoz Ltd),AirFluSal 25micrograms/dose / 250micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,250.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
1228741000033113,,Salmeterol Xinafoate  Disks with diskhaler  50 micrograms/blister,,,,,,,laba
123241000033110,3181711000001108,Beclazone 100 Easi-Breathe inhaler (Teva UK Ltd),Beclazone 100 Easi-Breathe inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,,ics
123341000033117,3604611000001104,Beclazone 50 Easi-Breathe inhaler (Teva UK Ltd),Beclazone 50 Easi-Breathe inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,,ics
123441000033111,3182611000001105,Beclazone 250 Easi-Breathe inhaler (Teva UK Ltd),Beclazone 250 Easi-Breathe inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,250.000microgram/1.000dose,,ics
12364641000033110,34681611000001100,Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (Chiesi Ltd),Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate/ Formoterol fumarate dihydrate/ Glycopyrronium bromide,87.000microgram/1.000dose + 5.000microgram/1.000dose + 9.000microgram/1.000dose,,triple
12370841000033110,34677011000001107,Aloflute 25micrograms/dose / 125micrograms/dose inhaler (Viatris UK Healthcare Ltd),Aloflute 25micrograms/dose / 125micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,125.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
12370941000033119,34675711000001103,Aloflute 25micrograms/dose / 250micrograms/dose inhaler (Viatris UK Healthcare Ltd),Aloflute 25micrograms/dose / 250micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,250.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
123841000033114,,Becotide 50 Easi-Breathe  Breath-actuated inhaler  50 micrograms/puff,,,,,,,ics
123941000033118,,Becotide 100 Easi-Breathe  Breath-actuated inhaler  100 micrograms/puff,,,,,,,ics
12403741000033110,34812111000001106,Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Budesonide/ Formoterol fumarate dihydrate,400.000microgram/1.000dose + 12.000microgram/1.000dose,,laba-ics
124041000033116,,Becloforte Easi-Breathe  Breath-actuated inhaler  250 micrograms/puff,,,,,,,ics
12430741000033111,34950311000001108,Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Budesonide/ Formoterol fumarate dihydrate,200.000microgram/1.000dose + 6.000microgram/1.000dose,,laba-ics
12431141000033117,34952211000001104,Trelegy Ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd),Trelegy Ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone furoate/ Umeclidinium bromide/ Vilanterol trifenatate,92.000microgram/1.000dose + 55.000microgram/1.000dose + 22.000microgram/1.000dose,,triple
12434441000033111,34950611000001103,Fobumix Easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),Fobumix Easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Budesonide/ Formoterol fumarate dihydrate,100.000microgram/1.000dose + 6.000microgram/1.000dose,,laba-ics
1252041000033114,35938011000001101,Salmeterol 50microgram inhalation powder blisters,Salmeterol 50microgram inhalation powder blisters,Inhalation powder,Inhalation,Salmeterol xinafoate,50.000microgram,3010101,laba
12529241000033119,35515511000001100,Fusacomb Easyhaler 50micrograms/dose / 250micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),Fusacomb Easyhaler 50micrograms/dose / 250micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,250.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
12529341000033112,35515311000001106,Fusacomb Easyhaler 50micrograms/dose / 500micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),Fusacomb Easyhaler 50micrograms/dose / 500micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,500.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
12530441000033112,35430311000001103,Kelhale 100micrograms/dose inhaler (Cipla EU Ltd),Kelhale 100micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,,ics
12530541000033113,35430111000001100,Kelhale 50micrograms/dose inhaler (Cipla EU Ltd),Kelhale 50micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,,ics
12579341000033113,35594011000001105,Combisal 25micrograms/dose / 50micrograms/dose inhaler (Aspire Pharma Ltd),Combisal 25micrograms/dose / 50micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,50.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
12579441000033119,35594211000001100,Combisal 25micrograms/dose / 125micrograms/dose inhaler (Aspire Pharma Ltd),Combisal 25micrograms/dose / 125micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,125.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
12579541000033118,35594411000001101,Combisal 25micrograms/dose / 250micrograms/dose inhaler (Aspire Pharma Ltd),Combisal 25micrograms/dose / 250micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,250.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
12634941000033116,35647511000001107,Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free,Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free,  Pressurised inhalation,Inhalation,Fluticasone propionate/ Formoterol fumarate dihydrate,125.000microgram/1.000dose + 5.000microgram/1.000dose,3020000,laba-ics
12635041000033116,35647611000001106,Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free,Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free,  Pressurised inhalation,Inhalation,Fluticasone propionate/ Formoterol fumarate dihydrate,50.000microgram/1.000dose + 5.000microgram/1.000dose,3020000,laba-ics
12635141000033117,35647311000001101,Flutiform K-haler 125micrograms/dose / 5micrograms/dose breath actuated inhaler (Napp Pharmaceuticals Ltd),Flutiform K-haler 125micrograms/dose / 5micrograms/dose breath actuated inhaler,  Pressurised inhalation,Inhalation,Fluticasone propionate/ Formoterol fumarate dihydrate,125.000microgram/1.000dose + 5.000microgram/1.000dose,,laba-ics
12635241000033112,35650811000001109,Flutiform K-haler 50micrograms/dose / 5micrograms/dose breath actuated inhaler (Napp Pharmaceuticals Ltd),Flutiform K-haler 50micrograms/dose / 5micrograms/dose breath actuated inhaler,  Pressurised inhalation,Inhalation,Fluticasone propionate/ Formoterol fumarate dihydrate,50.000microgram/1.000dose + 5.000microgram/1.000dose,,laba-ics
126641000033118,3103211000001103,Becloforte 400microgram disks with Diskhaler (GlaxoSmithKline UK Ltd),Becloforte 400microgram disks with Diskhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,400.000microgram,,ics
126741000033110,3088611000001100,Becodisks 100microgram with Diskhaler (GlaxoSmithKline UK Ltd),Becodisks 100microgram with Diskhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,100.000microgram,,ics
1267441000033114,3380111000001107,Serevent 50micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd),Serevent 50micrograms/dose Accuhaler,Inhalation powder,Inhalation,Salmeterol xinafoate,50.000microgram/1.000dose,,laba
1267641000033111,408911000001105,Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd),Serevent 25micrograms/dose inhaler, Pressurised inhalation,Inhalation,Salmeterol xinafoate,25.000microgram/1.000dose,,laba
126841000033117,3096011000001109,Becodisks 200microgram with Diskhaler (GlaxoSmithKline UK Ltd),Becodisks 200microgram with Diskhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,200.000microgram,,ics
1268941000033117,3084011000001103,Serevent 50microgram disks with Diskhaler (GlaxoSmithKline UK Ltd),Serevent 50microgram disks with Diskhaler,Inhalation powder,Inhalation,Salmeterol xinafoate,50.000microgram,,laba
126941000033113,3102211000001109,Becodisks 400microgram with Diskhaler (GlaxoSmithKline UK Ltd),Becodisks 400microgram with Diskhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,400.000microgram,,ics
1272941000033113,3082411000001100,Serevent 50microgram disks (GlaxoSmithKline UK Ltd),Serevent 50microgram disks,Inhalation powder,Inhalation,Salmeterol xinafoate,50.000microgram,,laba
12901341000033112,36603211000001106,Soprobec 50micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd),Soprobec 50micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,,ics
12901441000033118,36603611000001108,Soprobec 100micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd),Soprobec 100micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,,ics
12901541000033117,36603411000001105,Soprobec 200micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd),Soprobec 200micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,200.000microgram/1.000dose,,ics
12901641000033116,36603811000001107,Soprobec 250micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd),Soprobec 250micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,250.000microgram/1.000dose,,ics
12901741000033113,36604711000001102,Stalpex 50micrograms/dose / 500micrograms/dose dry powder inhaler (Glenmark Pharmaceuticals Europe Ltd),Stalpex 50micrograms/dose / 500micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,500.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
129041000033117,3178811000001101,Beclazone 100 inhaler (Teva UK Ltd),Beclazone 100 inhaler,Pressurised inhalation,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,,ics
129141000033118,3176411000001104,Beclazone 50 inhaler (Teva UK Ltd),Beclazone 50 inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,,ics
129241000033113,3180611000001109,Beclazone 250 inhaler (Teva UK Ltd),Beclazone 250 inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,250.000microgram/1.000dose,,ics
129341000033115,,Becloforte Integra  Inhaler with spacer device  250 micrograms/puff,,,,,,,ics
129841000033112,3178611000001100,Becotide 100 inhaler (GlaxoSmithKline UK Ltd),Becotide 100 inhaler,Pressurised inhalation,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,,ics
129941000033116,3176211000001103,Becotide 50 inhaler (GlaxoSmithKline UK Ltd),Becotide 50 inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,,ics
131441000033112,3179311000001104,Becotide 200 inhaler (GlaxoSmithKline UK Ltd),Becotide 200 inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,200.000microgram/1.000dose,,ics
131641000033114,,Becloforte Vm  Inhalers and volumatic  250 micrograms/puff,,,,,,,ics
13178541000033111,37692511000001100,Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free,Tiotropium bromide 2.5micrograms/dose / Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free, Inhalation solution,Inhalation,Olodaterol hydrochloride/ Tiotropium bromide,2.500microgram/1.000dose + 2.500microgram/1.000dose,3010400,laba-lama
13178641000033112,37678011000001103,Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd),Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution refill cartridge, Inhalation solution,Inhalation,Olodaterol hydrochloride/ Tiotropium bromide,2.500microgram/1.000dose + 2.500microgram/1.000dose,,laba-lama
13178741000033115,37692711000001105,Tiotropium bromide 2.5micrograms/dose inhalation solution cartridge CFC free,Tiotropium bromide 2.5micrograms/dose inhalation solution cartridge CFC free, Inhalation solution,Inhalation,Tiotropium bromide,2.500microgram/1.000dose,3010200,lama
13178841000033113,37677711000001102,Spiriva Respimat 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd),Spiriva Respimat 2.5micrograms/dose inhalation solution refill cartridge, Inhalation solution,Inhalation,Tiotropium bromide,2.500microgram/1.000dose,,lama
13178941000033117,37692311000001106,Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free,Olodaterol 2.5micrograms/dose inhalation solution cartridge CFC free, Inhalation solution,Inhalation,Olodaterol hydrochloride,2.500microgram/1.000dose,3010101,laba
13179041000033114,37678311000001100,Striverdi Respimat 2.5micrograms/dose inhalation solution refill cartridge (Boehringer Ingelheim Ltd),Striverdi Respimat 2.5micrograms/dose inhalation solution refill cartridge, Inhalation solution,Inhalation,Olodaterol hydrochloride,2.500microgram/1.000dose,,laba
13179141000033113,37540311000001105,Yanimo Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd),Yanimo Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device, Inhalation solution,Inhalation,Olodaterol hydrochloride/ Tiotropium bromide,2.500microgram/1.000dose + 2.500microgram/1.000dose,,laba-lama
136041000033114,,Becodisks With Diskhaler  Powder  400 micrograms,,,,,,,ics
136141000033113,,Becodisks Refill  Powder  400 micrograms,,,,,,,ics
136641000033115,3105311000001107,Becloforte 400microgram disks (GlaxoSmithKline UK Ltd),Becloforte 400microgram disks,Inhalation powder,Inhalation,Beclometasone dipropionate,400.000microgram,,ics
136741000033112,,Becloforte Integra  Refill  250 micrograms/puff,,,,,,,ics
136941000033110,3086011000001108,Becodisks 100microgram (GlaxoSmithKline UK Ltd),Becodisks 100microgram,Inhalation powder,Inhalation,Beclometasone dipropionate,100.000microgram,,ics
137041000033111,3099811000001109,Becodisks 200microgram (GlaxoSmithKline UK Ltd),Becodisks 200microgram,Inhalation powder,Inhalation,Beclometasone dipropionate,200.000microgram,,ics
137241000033115,3104911000001109,Becodisks 400microgram (GlaxoSmithKline UK Ltd),Becodisks 400microgram,Inhalation powder,Inhalation,Beclometasone dipropionate,400.000microgram,,ics
13741241000033114,39116311000001103,Indacaterol 125micrograms/dose / Mometasone 127.5micrograms/dose inhalation powder capsules with device,Indacaterol 125micrograms/dose / Mometasone 127.5micrograms/dose inhalation powder capsules with device,Inhalation powder,Inhalation,Indacaterol acetate/ Mometasone furoate,125.000microgram/1.000dose + 127.500microgram/1.000dose,3020000,laba-ics
13741441000033110,39116511000001109,Indacaterol 125micrograms/dose / Mometasone 62.5micrograms/dose inhalation powder capsules with device,Indacaterol 125micrograms/dose / Mometasone 62.5micrograms/dose inhalation powder capsules with device,Inhalation powder,Inhalation,Indacaterol acetate/ Mometasone furoate,125.000microgram/1.000dose + 62.500microgram/1.000dose,3020000,laba-ics
13741541000033111,39115411000001101,Atectura Breezhaler 125micrograms/127.5micrograms inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd),Atectura Breezhaler 125micrograms/127.5micrograms inhalation powder capsules with device,Inhalation powder,Inhalation,Indacaterol acetate/ Mometasone furoate,125.000microgram/1.000dose + 127.500microgram/1.000dose,,laba-ics
13741641000033112,39115911000001109,Atectura Breezhaler 125micrograms/260micrograms inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd),Atectura Breezhaler 125micrograms/260micrograms inhalation powder capsules with device,Inhalation powder,Inhalation,Indacaterol acetate/ Mometasone furoate,125.000microgram/1.000dose + 260.000microgram/1.000dose,,laba-ics
13741741000033115,39114511000001103,Atectura Breezhaler 125micrograms/62.5micrograms inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd),Atectura Breezhaler 125micrograms/62.5micrograms inhalation powder capsules with device,Inhalation powder,Inhalation,Indacaterol acetate/ Mometasone furoate,125.000microgram/1.000dose + 62.500microgram/1.000dose,,laba-ics
13743741000033116,39133611000001108,Budesonide 100micrograms/dose / Formoterol 3micrograms/dose inhaler CFC free,Budesonide 100micrograms/dose / Formoterol 3micrograms/dose inhaler CFC free, Pressurised inhalation,Inhalation,Budesonide/ Formoterol fumarate dihydrate,100.000microgram/1.000dose + 3.000microgram/1.000dose,3020000,laba-ics
13743941000033118,39105811000001102,Symbicort 100micrograms/dose / 3micrograms/dose pressurised inhaler (AstraZeneca UK Ltd),Symbicort 100micrograms/dose / 3micrograms/dose pressurised inhaler, Pressurised inhalation,Inhalation,Budesonide/ Formoterol fumarate dihydrate,100.000microgram/1.000dose + 3.000microgram/1.000dose,,laba-ics
13744141000033117,39134711000001102,Enerzair Breezhaler 114micrograms/dose / 46micrograms/dose / 136micrograms/dose inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd),Enerzair Breezhaler 114micrograms/dose / 46micrograms/dose / 136micrograms/dose inhalation powder capsules with device,Inhalation powder,Inhalation,Glycopyrronium bromide/ Indacaterol acetate/ Mometasone furoate,46.000microgram/1.000dose + 114.000microgram/1.000dose + 136.000microgram/1.000dose,,triple
137641000033117,3190311000001103,Becotide 100microgram Rotacaps (GlaxoSmithKline UK Ltd),Becotide 100microgram Rotacaps,Inhalation powder,Inhalation,Beclometasone dipropionate,100.000microgram,,ics
13767941000033116,39343611000001104,Glycopyrronium 7.2micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free,Glycopyrronium 7.2micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free, Pressurised inhalation,Inhalation,Formoterol fumarate dihydrate/ Glycopyrronium bromide,5.000microgram/1.000dose + 7.200microgram/1.000dose,3010400,laba-lama
13768041000033118,39329111000001107,Bevespi Aerosphere 7.2micrograms/dose / 5micrograms/dose pressurised inhaler (AstraZeneca UK Ltd),Bevespi Aerosphere 7.2micrograms/dose / 5micrograms/dose pressurised inhaler, Pressurised inhalation,Inhalation,Formoterol fumarate dihydrate/ Glycopyrronium bromide,5.000microgram/1.000dose + 7.200microgram/1.000dose,,laba-lama
137741000033114,3192111000001101,Becotide 200microgram Rotacaps (GlaxoSmithKline UK Ltd),Becotide 200microgram Rotacaps,Inhalation powder,Inhalation,Beclometasone dipropionate,200.000microgram,,ics
13774841000033112,39327311000001104,Trixeo Aerosphere 5micrograms/dose / 7.2micrograms/dose / 160micrograms/dose pressurised inhaler (AstraZeneca UK Ltd),Trixeo Aerosphere 5micrograms/dose / 7.2micrograms/dose / 160micrograms/dose pressurised inhaler, Pressurised inhalation,Inhalation,Budesonide/ Formoterol fumarate dihydrate/ Glycopyrronium bromide,160.000microgram/1.000dose + 5.000microgram/1.000dose + 7.200microgram/1.000dose,,triple
137841000033116,386411000001106,Becotide Rotahaler (GlaxoSmithKline UK Ltd),Becotide Rotahaler,,,,,,ics
