conssourceid,description,primarycare,ae,op,hospital
1688,Accident & Emergency,,1,,
1696,Accident & Emergency,,1,,
1698,Accident & Emergency,,1,,
1701,Accident & Emergency,,1,,
1710,Acute visit,1,,,
1755,GP Practice,1,,,
1763,GP Practice,1,,,
1791,GP Practice,1,,,
1793,GP Practice,1,,,
1813,GP Practice,1,,,
1816,GP Practice,1,,,
1837,GP Practice,1,,,
1838,GP Practice,1,,,
1842,GP Practice,1,,,
1845,GP Practice,1,,,
1849,GP Practice,1,,,
1857,GP Practice,1,,,
1862,GP Practice,1,,,
1867,GP Practice,1,,,
1935,Accident & Emergency,,1,,
1936,Accident & Emergency,,1,,
1937,Accident & Emergency,,1,,
1938,Accident & Emergency,,1,,
1940,Accident & Emergency,,1,,
1941,Accident & Emergency,,1,,
1942,Accident & Emergency,,1,,
1944,Accident & Emergency,,1,,
1945,Accident & Emergency,,1,,
1946,Accident & Emergency,,1,,
1948,Accident & Emergency,,1,,
1949,Accident & Emergency,,1,,
1953,GP Practice,1,,,
1954,GP Practice,1,,,
1956,Accident & Emergency,,1,,
1957,Accident & Emergency,,1,,
1966,GP Practice,1,,,
2004,GP Practice,1,,,
2005,GP Practice,1,,,
2011,GP Practice,1,,,
2012,GP Practice,1,,,
2017,GP Practice,1,,,
2045,GP Practice,1,,,
2050,GP Practice,1,,,
2051,GP Practice,1,,,
2065,GP Practice,1,,,
2066,GP Practice,1,,,
2079,GP Practice,1,,,
2086,GP Practice,1,,,
2093,GP Practice,1,,,
2098,GP Practice,1,,,
2099,GP Practice,1,,,
2101,GP Practice,1,,,
2102,GP Practice,1,,,
2103,GP Practice,1,,,
2105,GP Practice,1,,,
2106,GP Practice,1,,,
2107,GP Practice,1,,,
2108,GP Practice,1,,,
2116,GP Practice,1,,,
2125,GP Practice,1,,,
2142,GP Practice,1,,,
2148,GP Practice,1,,,
2153,GP Practice,1,,,
2155,GP Practice,1,,,
2156,GP Practice,1,,,
2163,GP Practice,1,,,
2164,GP Practice,1,,,
2166,GP Practice,1,,,
2170,GP Practice,1,,,
2173,GP Practice,1,,,
2179,GP Practice,1,,,
2209,GP Practice,1,,,
2216,GP Practice,1,,,
2226,GP Practice,1,,,
2235,GP Practice,1,,,
2240,GP Practice,1,,,
2257,GP Practice,1,,,
2261,GP Practice,1,,,
2276,GP Practice,1,,,
2287,GP Practice,1,,,
2302,GP Practice,1,,,
2306,GP Practice,1,,,
2307,GP Practice,1,,,
2324,Community health clinic,1,,,
2372,GP Practice,1,,,
2376,GP Practice,1,,,
2377,GP Practice,1,,,
2380,GP Practice,1,,,
2392,GP Practice,1,,,
2414,Daytime Visits patients home,1,,,
2415,Daytime Visits patients home,1,,,
2416,Daytime Visits patients home,1,,,
2417,Daytime Visits patients home,1,,,
2487,GP Practice,1,,,
2527,Duty Doctor Telephone,1,,,
2545,GP Practice,1,,,
2547,GP Practice,1,,,
2555,GP Practice,1,,,
2556,GP Practice,1,,,
2560,GP Practice,1,,,
2579,Emergency consultation,1,,,
2580,Emergency Gp Surgery,1,,,
2600,GP Practice,1,,,
2604,GP Practice,1,,,
2617,GP Practice,1,,,
2618,GP Practice,1,,,
2652,GP Practice,1,,,
2668,GP Practice,1,,,
2672,GP Practice,1,,,
2686,GP Practice,1,,,
2701,GP Practice,1,,,
2706,GP Surgery,1,,,
2711,G.P Surgery (Pm),1,,,
2719,G.P. Morning Surgery,1,,,
2721,GP Practice,1,,,
2779,GP Practice,1,,,
2780,GP Practice,1,,,
2800,GP Practice,1,,,
2810,GP Practice,1,,,
2819,GP Surgery,1,,,
2867,GP Practice,1,,,
2868,GP Practice,1,,,
2869,GP Practice,1,,,
2887,GP Practice,1,,,
2893,GP Practice,1,,,
2906,GP Practice,1,,,
2917,Health Centre,1,,,
2952,GP Practice,1,,,
2956,GP Practice,1,,,
2959,GP Practice,1,,,
2960,GP Practice,1,,,
2966,GP Practice,1,,,
2969,GP Practice,1,,,
2992,GP Practice,1,,,
2995,Accident & Emergency,,1,,
3016,Hospital inpatient report,,,,1
3051,Hospital Visit,,,1,
3073,GP Practice,1,,,
3111,Inpatient NHS,,,,1
3112,Inpatient NHS,,,,1
3113,Inpatient NHS,,,,1
3114,Inpatient NHS,,,,1
3115,Inpatient NHS,,,,1
3116,Inpatient NHS,,,,1
3117,Inpatient NHS,,,,1
3118,Inpatient NHS,,,,1
3119,Inpatient NHS,,,,1
3120,Inpatient NHS,,,,1
3123,Inpatient Trust,,,,1
3124,Inpatient Trust,,,,1
3125,Inpatient Trust,,,,1
3126,Inpatient Trust,,,,1
3127,Inpatient Trust,,,,1
3142,GP Practice,1,,,
3143,GP Practice,1,,,
3150,GP Practice,1,,,
3161,GP Practice,1,,,
3163,GP Practice,1,,,
3180,GP Practice,1,,,
3181,GP Practice,1,,,
3191,GP Practice,1,,,
3192,GP Practice,1,,,
3199,GP Practice,1,,,
3234,GP Practice,1,,,
3236,GP Practice,1,,,
3262,GP Practice,1,,,
3263,GP Practice,1,,,
3271,Main Surgery,1,,,
3277,GP Practice,1,,,
3304,GP Practice,1,,,
3309,GP Practice,1,,,
3327,GP Practice,1,,,
3333,GP Practice,1,,,
3346,Minor Operations Clinic,1,,,
3356,GP Practice,1,,,
3370,GP Practice,1,,,
3378,GP Practice,1,,,
3381,GP Practice,1,,,
3391,GP Practice,1,,,
3396,GP Practice,1,,,
3405,GP Practice,1,,,
3409,GP Practice,1,,,
3410,GP Practice,1,,,
3430,Night Visit - patient's home,1,,,
3431,Night Visit - patient's home,1,,,
3432,Night Visit - patient's home,1,,,
3438,Night Visit patients home,1,,,
3440,"Night visit, Local rota",1,,,
3441,"Night visit , practice",1,,,
3473,GP Practice,1,,,
3478,GP Practice,1,,,
3479,GP Practice,1,,,
3499,Nurse Assessment Clinic,1,,,
3501,Nurse Flu Clinic,1,,,
3503,Nurse Minor Illness Clinic,1,,,
3504,Nurse Practitioner,1,,,
3505,Nurse Practitioner Surgery,1,,,
3506,Nurse Practitioner Telephone Advice,1,,,
3509,Nurse Surgery,1,,,
3513,Nurse Triage Consultation,1,,,
3514,Nurse Visit,1,,,
3516,Nurses' Flu Clinic,1,,,
3526,GP Practice,1,,,
3532,GP Practice,1,,,
3573,GP Practice,1,,,
3614,Out of Hours,1,,,
3615,Out of Hours,1,,,
3616,Out of Hours,1,,,
3617,Out of Hours,1,,,
3618,Out of Hours,1,,,
3619,Out Of Hours Advice,1,,,
3620,Out Of Hours Attendance,1,,,
3621,Out Of Hours Calls,1,,,
3622,Out Of Hours Centre,1,,,
3626,Out Of Hours Gp Service,1,,,
3627,Out Of Hours Gp Visit,1,,,
3628,Out Of Hours Home Visit,1,,,
3630,Out Of Hours Hospital,,,,1
3631,Out Of Hours Night Visit,1,,,
3632,Out Of Hours Other Practice,1,,,
3633,Out Of Hours Prim Care Centre,1,,,
3636,Out Of Hours Telephone Advice,1,,,
3637,Out Of Hours Telephone Call,1,,,
3638,Out Of Hours Telephone Consultation,1,,,
3639,Out Of Hours Telephone Contact/Advice,1,,,
3640,Out Of Hours-Telephone Advice,1,,,
3648,Outpatient NHS,,,1,
3649,Outpatient NHS,,,1,
3650,Outpatient NHS,,,1,
3651,Outpatient NHS,,,1,
3652,Outpatient NHS,,,1,
3653,Outpatient NHS,,,1,
3654,Outpatient NHS,,,1,
3655,Outpatient NHS,,,1,
3656,Outpatient NHS,,,1,
3657,Outpatient Private,,1,,
3658,Outpatient Private,,1,,
3659,Outpatient Private,,1,,
3660,Outpatient Private,,1,,
3661,Outpatient Private,,1,,
3662,Outpatient Private,,1,,
3663,Outpatient Private,,1,,
3664,Outpatient Private,,1,,
3665,Outpatient Private,,1,,
3666,Outpatient Private,,1,,
3667,Outpatient Trust,,,1,
3668,Outpatient Trust,,,1,
3669,Outpatient Trust,,,1,
3670,Outpatient Trust,,,1,
3671,Outpatient Trust,,,1,
3672,Outpatient Trust,,,1,
3673,Outpatient Trust,,,1,
3674,Outpatient Trust,,,1,
3675,Outpatient Trust,,,1,
3696,GP Practice,1,,,
3701,GP Practice,1,,,
3708,GP Practice,1,,,
3747,GP Practice,1,,,
3761,GP Practice,1,,,
3769,GP Practice,1,,,
3778,GP Practice,1,,,
3780,GP Practice,1,,,
3814,GP Practice,1,,,
3847,GP Practice,1,,,
3850,GP Practice,1,,,
3851,GP Practice,1,,,
3860,GP Practice,1,,,
3953,GP Practice,1,,,
3958,GP Practice,1,,,
3959,GP Practice,1,,,
3960,GP Practice,1,,,
3969,GP Practice,1,,,
3988,Accident & Emergency,,1,,
4000,GP Practice,1,,,
4001,GP Practice,1,,,
4020,Same Day Clinic,1,,,
4070,Seen in GPs surgery,1,,,
4071,Seen in hospital out-pat.,,,1,
4086,GP Practice,1,,,
4089,GP Practice,1,,,
4109,GP Practice,1,,,
4117,GP Practice,1,,,
4122,GP Practice,1,,,
4127,GP Practice,1,,,
4140,GP Practice,1,,,
4145,GP Practice,1,,,
4151,GP Practice,1,,,
4156,GP Practice,1,,,
4160,GP Practice,1,,,
4165,GP Practice,1,,,
4169,GP Practice,1,,,
4176,GP Practice,1,,,
4178,GP Practice,1,,,
4179,GP Practice,1,,,
4180,GP Practice,1,,,
4191,GP Practice,1,,,
4193,GP Practice,1,,,
4201,GP Practice,1,,,
4203,GP Practice,1,,,
4215,Surgery Attendance,1,,,
4217,Surgery Clinic,1,,,
4218,Surgery Clinic,1,,,
4219,Surgery Clinic,1,,,
4220,Surgery Clinic,1,,,
4221,Surgery consultation,1,,,
4226,Surgery,1,,,
4227,Surgery,1,,,
4228,Surgery,1,,,
4229,Surgery,1,,,
4231,GP Surgery,1,,,
4243,GP Practice,1,,,
4246,GP Practice,1,,,
4250,GP Practice,1,,,
4281,Telephone,1,,,
4283,Telephone Advice,1,,,
4288,Telephone Appt,1,,,
4289,Telephone Appt,1,,,
4290,Telephone Appt,1,,,
4293,Telephone Consultation,1,,,
4298,Telephone encounter,1,,,
4302,Telephone Surgery,1,,,
4312,GP Practice,1,,,
4323,GP Practice,1,,,
4324,GP Practice,1,,,
4325,GP Practice,1,,,
4327,GP Practice,1,,,
4329,GP Practice,1,,,
4330,GP Practice,1,,,
4331,GP Practice,1,,,
4333,GP Practice,1,,,
4334,GP Practice,1,,,
4335,GP Practice,1,,,
4337,GP Practice,1,,,
4338,GP Practice,1,,,
4341,GP Practice,1,,,
4344,GP Practice,1,,,
4349,GP Practice,1,,,
4355,GP Practice,1,,,
4356,GP Practice,1,,,
4359,GP Practice,1,,,
4360,GP Practice,1,,,
4361,GP Practice,1,,,
4364,GP Practice,1,,,
4376,GP Practice,1,,,
4387,Treatment Room,1,,,
4403,GP Practice,1,,,
4409,GP Practice,1,,,
4420,GP Practice,1,,,
4425,GP Practice,1,,,
4426,GP Practice,1,,,
4486,Urgent consultation,1,,,
4487,Urgent Slots,1,,,
4506,visit,1,,,
4523,Walk-in clinic,1,,,
4536,GP Practice,1,,,
4540,GP Practice,1,,,
4545,Weekday Surgery,1,,,
4552,GP Practice,1,,,
4570,GP Practice,1,,,
4571,GP Practice,1,,,
4572,GP Practice,1,,,
4575,GP Practice,1,,,
4576,GP Practice,1,,,
4577,GP Practice,1,,,
4578,GP Practice,1,,,
4579,GP Practice,1,,,
4583,GP Practice,1,,,
4601,GP Practice,1,,,
4606,GP Practice,1,,,
4607,GP Practice,1,,,
4609,GP Practice,1,,,
4610,GP Practice,1,,,
4625,GP Practice,1,,,
4636,GP Practice,1,,,
4649,GP Practice,1,,,
4650,GP Practice,1,,,
4659,GP Practice,1,,,
4660,GP Practice,1,,,
4665,GP Practice,1,,,
4670,GP Practice,1,,,
4695,GP Practice,1,,,
4697,GP Practice,1,,,
4698,GP Practice,1,,,
4701,GP Practice,1,,,
4703,GP Practice,1,,,
4704,GP Practice,1,,,
4721,GP Practice,1,,,
4727,GP Practice,1,,,
4751,GP Practice,1,,,
4757,GP Practice,1,,,
4759,GP Practice,1,,,
4764,GP Practice,1,,,
4765,GP Practice,1,,,
4771,GP Practice,1,,,
4773,Clinic,1,,,
4779,Clinic NHS,1,,,
4781,Clinic,1,,,
4790,GP Practice,1,,,
4810,GP Practice,1,,,
4824,GP Practice,1,,,
4851,GP Practice,1,,,
4862,GP Practice,1,,,
4863,GP Practice,1,,,
4868,GP Practice,1,,,
4873,GP Practice,1,,,
4888,GP Practice,1,,,
4912,Daytime Visits patients home,1,,,
4913,Daytime Visits patients home,1,,,
4914,Daytime Visits patients home,1,,,
4915,Daytime Visits patients home,1,,,
4916,Daytime Visits patients home,1,,,
4937,GP Practice,1,,,
5009,GP Practice,1,,,
5029,GP Practice,1,,,
5037,Duty Doctor Urgent Appointment,1,,,
5040,Duty Telephone Appt,1,,,
5052,GP Practice,1,,,
5056,GP Practice,1,,,
5083,Emergency Appointment,1,,,
5091,Emergency Gp Surgery,1,,,
5093,Emergency Nurse Clinic,1,,,
5097,Emergency Surgery,1,,,
5136,Extra Appointment,1,,,
5149,Face to face consultation,1,,,
5161,GP Practice,1,,,
5165,GP Practice,1,,,
5166,GP Practice,1,,,
5169,GP Practice,1,,,
5176,GP Practice,1,,,
5177,GP Practice,1,,,
5181,GP Practice,1,,,
5184,GP Practice,1,,,
5192,GP Practice,1,,,
5198,GP Practice,1,,,
5205,GP Practice,1,,,
5208,GP Practice,1,,,
5224,GP Practice,1,,,
5232,GP Surgery,1,,,
5252,G.P.Surgery Urgent Consultation,1,,,
5259,GP Practice,1,,,
5266,GP Surgery,1,,,
5298,GP Practice,1,,,
5313,GP Surgery,1,,,
5341,GP Practice,1,,,
5345,GP Practice,1,,,
5346,GP Practice,1,,,
5368,GP Practice,1,,,
5374,GP Practice,1,,,
5422,GP Practice,1,,,
5431,GP Practice,1,,,
5437,GP Practice,1,,,
5439,GP Practice,1,,,
5444,GP Practice,1,,,
5446,GP Practice,1,,,
5464,Home visit note,1,,,
5472,GP Practice,1,,,
5473,GP Practice,1,,,
5484,Hospital,,,,1
5585,Inpatient NHS,,,,1
5586,Inpatient NHS,,,,1
5587,Inpatient NHS,,,,1
5588,Inpatient NHS,,,,1
5589,Inpatient NHS,,,,1
5590,Inpatient NHS,,,,1
5592,Inpatient Trust,,,,1
5606,GP Practice,1,,,
5612,GP Practice,1,,,
5614,GP Practice,1,,,
5615,GP Practice,1,,,
5626,GP Practice,1,,,
5631,GP Practice,1,,,
5632,GP Practice,1,,,
5633,GP Practice,1,,,
5646,GP Practice,1,,,
5651,GP Practice,1,,,
5652,GP Practice,1,,,
5692,GP Practice,1,,,
5694,GP Practice,1,,,
5715,GP Practice,1,,,
5721,GP Practice,1,,,
5734,GP Practice,1,,,
5736,GP Practice,1,,,
5738,GP Practice,1,,,
5743,GP Practice,1,,,
5747,GP Practice,1,,,
5752,GP Practice,1,,,
5754,GP Practice,1,,,
5783,GP Practice,1,,,
5802,GP Practice,1,,,
5811,GP Practice,1,,,
5814,GP Practice,1,,,
5815,GP Practice,1,,,
5839,GP Practice,1,,,
5860,GP Practice,1,,,
5862,GP Practice,1,,,
5863,GP Practice,1,,,
5869,Night Visit,1,,,
5875,"Night visit , practice",1,,,
5879,Night Visit - patient's home,1,,,
5913,GP Practice,1,,,
5916,GP Practice,1,,,
5919,GP Practice,1,,,
5941,GP Practice,1,,,
5952,Nurse's Treatment Room Clinic,1,,,
5967,GP Practice,1,,,
5975,GP Practice,1,,,
6006,Open Access Surgery,1,,,
6020,GP Practice,1,,,
6034,Out of Hours,1,,,
6051,GP Practice,1,,,
6052,Out of Hours,1,,,
6056,Out of Hours,1,,,
6062,Out of Hours,1,,,
6063,Out of Hours,1,,,
6064,Out of Hours,1,,,
6065,Out of Hours,1,,,
6066,Out of Hours,1,,,
6071,Out Of Hours Centre,1,,,
6087,"Out of hours, Practice",1,,,
6100,Outpatient NHS,,,1,
6101,Outpatient NHS,,,1,
6102,Outpatient NHS,,,1,
6103,Outpatient NHS,,,1,
6104,Outpatient NHS,,,1,
6105,Outpatient NHS,,,1,
6106,Outpatient NHS,,,1,
6107,Outpatient NHS,,,1,
6108,Outpatient NHS,,,1,
6109,Outpatient Private,,1,,
6110,Outpatient Private,,1,,
6111,Outpatient Private,,1,,
6112,Outpatient Private,,1,,
6113,Outpatient Trust,,,1,
6114,Outpatient Trust,,,1,
6115,Outpatient Trust,,,1,
6116,Outpatient Trust,,,1,
6117,Outpatient Trust,,,1,
6118,Outpatient Trust,,,1,
6119,Outpatient Trust,,,1,
6120,Outpatient Trust,,,1,
6121,Outpatient Trust,,,1,
6140,P.Nurse Clinic,1,,,
6148,GP Practice,1,,,
6194,GP Practice,1,,,
6197,GP Practice,1,,,
6217,GP Practice,1,,,
6236,Practice Nurse Clinic,1,,,
6260,GP Practice,1,,,
6287,GP Practice,1,,,
6301,GP Practice,1,,,
6383,GP Practice,1,,,
6384,GP Practice,1,,,
6385,GP Practice,1,,,
6393,GP Practice,1,,,
6399,GP Practice,1,,,
6400,Accident & Emergency,,1,,
6426,Same Day Appointment,1,,,
6440,Saturday Morning Surgery,1,,,
6446,GP Practice,1,,,
6512,Seen in GPs surgery,1,,,
6513,Seen in Health Centre,1,,,
6517,Seen in own home,1,,,
6519,Seen out of hours,1,,,
6533,GP Practice,1,,,
6537,GP Practice,1,,,
6559,GP Practice,1,,,
6560,GP Practice,1,,,
6581,GP Practice,1,,,
6595,GP Practice,1,,,
6599,GP Practice,1,,,
6605,GP Practice,1,,,
6606,GP Practice,1,,,
6609,GP Practice,1,,,
6613,GP Practice,1,,,
6617,GP Practice,1,,,
6632,GP Practice,1,,,
6636,GP Practice,1,,,
6647,Surgery Clinic,1,,,
6648,Surgery Clinic,1,,,
6649,Surgery Clinic,1,,,
6650,Surgery Clinic,1,,,
6652,Surgery Emergency,1,,,
6658,Surgery,1,,,
6659,Surgery,1,,,
6660,Surgery,1,,,
6661,Surgery,1,,,
6662,Surgery,1,,,
6663,Surgery,1,,,
6664,Surgery,1,,,
6667,GP Surgery,1,,,
6685,GP Practice,1,,,
6687,GP Practice,1,,,
6698,GP Practice,1,,,
6712,Telephone Surgery,1,,,
6725,Telephone Advice,1,,,
6727,Telephone Call,1,,,
6728,Telephone call from a patient,1,,,
6729,Telephone call from a patient,1,,,
6730,Telephone call to a patient,1,,,
6733,Telephone Consultation,1,,,
6734,Telephone Consultation,1,,,
6755,Telephone,1,,,
6769,GP Practice,1,,,
6773,GP Practice,1,,,
6774,GP Practice,1,,,
6775,GP Practice,1,,,
6782,GP Practice,1,,,
6790,GP Practice,1,,,
6793,GP Practice,1,,,
6795,GP Practice,1,,,
6801,GP Practice,1,,,
6802,GP Practice,1,,,
6820,Three Minute Surgery,1,,,
6822,GP Practice,1,,,
6838,Treatment Room (Nurse),1,,,
6839,GP Practice,1,,,
6847,GP Practice,1,,,
6866,GP Practice,1,,,
6913,Unspecified encounter,1,,,
6923,Urgent Surgery,1,,,
6930,GP Practice,1,,,
6941,visit,1,,,
6962,Walk-in Centre,1,,,
6963,Walk-In Surgery,1,,,
6965,GP Practice,1,,,
6979,GP Practice,1,,,
6989,GP Practice,1,,,
6990,GP Practice,1,,,
6992,GP Practice,1,,,
6995,GP Practice,1,,,
6998,GP Practice,1,,,
7001,GP Practice,1,,,
7016,GP Practice,1,,,
7018,GP Practice,1,,,
7039,GP Practice,1,,,
7041,GP Practice,1,,,
7042,GP Practice,1,,,
7048,GP Practice,1,,,
7071,GP Practice,1,,,
7072,GP Practice,1,,,
7087,GP Practice,1,,,
7090,GP Practice,1,,,
7093,GP Practice,1,,,
7105,GP Practice,1,,,
7118,GP Practice,1,,,
7126,GP Practice,1,,,
7129,GP Practice,1,,,
7133,GP Practice,1,,,
7141,GP Practice,1,,,
7152,GP Practice,1,,,
7170,GP Practice,1,,,
7185,GP Practice,1,,,
7191,GP Practice,1,,,
7192,GP Practice,1,,,
7193,GP Practice,1,,,
7194,GP Practice,1,,,
7195,GP Practice,1,,,
7215,GP Practice,1,,,
7219,GP Practice,1,,,
7220,GP Practice,1,,,
7229,GP Practice,1,,,
7230,GP Practice,1,,,
7238,Clinic NHS,1,,,
7271,GP Practice,1,,,
7288,GP Practice,1,,,
7291,GP Practice,1,,,
7312,GP Practice,1,,,
7314,GP Practice,1,,,
7319,GP Practice,1,,,
7324,GP Practice,1,,,
7331,GP Practice,1,,,
7344,GP Practice,1,,,
7358,Daytime Visits patients home,1,,,
7359,Daytime Visits patients home,1,,,
7361,Daytime Visits patients home,1,,,
7362,Daytime Visits patients home,1,,,
7363,Daytime Visits patients home,1,,,
7364,Daytime Visits patients home,1,,,
7365,Daytime Visits patients home,1,,,
7366,Daytime Visits patients home,1,,,
7367,Daytime Visits patients home,1,,,
7368,Daytime Visits patients home,1,,,
7369,Daytime Visits patients home,1,,,
7370,Daytime Visits patients home,1,,,
7387,GP Practice,1,,,
7395,Diabetic Clinic,1,,,
7413,Discharged from inpatient care,,,,1
7451,GP Practice,1,,,
7455,GP Practice,1,,,
7470,GP Practice,1,,,
7488,GP Practice,1,,,
7491,GP Practice,1,,,
7512,GP Practice,1,,,
7524,Emergency Gp Surgery,1,,,
7530,GP Practice,1,,,
7531,GP Practice,1,,,
7560,GP Practice,1,,,
7591,GP Practice,1,,,
7609,Follow-up/routine visit,1,,,
7631,GP Surgery,1,,,
7632,GP Surgery,1,,,
7659,GP Surgery,1,,,
7708,GP Practice,1,,,
7721,GP Practice,1,,,
7729,GP Practice,1,,,
7732,GP Surgery,1,,,
7737,GP Surgery,1,,,
7781,GP Practice,1,,,
7782,GP Practice,1,,,
7790,GP Practice,1,,,
7794,GP Practice,1,,,
7795,GP Practice,1,,,
7796,GP Practice,1,,,
7804,GP Practice,1,,,
7812,GP Practice,1,,,
7824,GP Practice,1,,,
7826,GP Practice,1,,,
7827,GP Practice,1,,,
7831,GP Practice,1,,,
7857,GP Practice,1,,,
7864,GP Practice,1,,,
7873,GP Practice,1,,,
7883,Home of Patient,1,,,
7885,Home Visit,1,,,
7904,GP Practice,1,,,
7924,Hospital Outpatient,,,1,
7965,GP Practice,1,,,
8018,GP Practice,1,,,
8021,Inpatient NHS,,,,1
8023,Inpatient NHS,,,,1
8024,Inpatient NHS,,,,1
8025,Inpatient NHS,,,,1
8026,Inpatient NHS,,,,1
8029,Inpatient Trust,,,,1
8030,Inpatient Trust,,,,1
8056,GP Practice,1,,,
8057,GP Practice,1,,,
8063,GP Practice,1,,,
8065,GP Practice,1,,,
8067,GP Practice,1,,,
8068,GP Practice,1,,,
8086,GP Practice,1,,,
8092,GP Practice,1,,,
8097,GP Practice,1,,,
8125,GP Practice,1,,,
8126,GP Practice,1,,,
8128,GP Practice,1,,,
8131,GP Practice,1,,,
8137,GP Practice,1,,,
8141,GP Practice,1,,,
8144,GP Practice,1,,,
8146,GP Practice,1,,,
8149,GP Practice,1,,,
8151,GP Practice,1,,,
8173,GP Practice,1,,,
8174,GP Practice,1,,,
8195,GP Practice,1,,,
8212,GP Practice,1,,,
8214,GP Practice,1,,,
8230,GP Practice,1,,,
8239,GP Practice,1,,,
