medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,asthma
1739161000000118,1782,1782.00,340921000000103,1739161000000118,Asthma trigger - tobacco smoke,1
8109071000006112,^ESCTAS810907,,340921000000103,635041000000110,Asthma trigger - tobacco smoke,1
1739171000000113,1783,1783.00,340931000000101,1739171000000113,Asthma trigger - warm air,1
8109091000006113,^ESCTAS810909,,340931000000101,635061000000111,Asthma trigger - warm air,1
1208962015,663y,663y.00,366874008,490425015,Number of asthma exacerbations in past year,1
1208954011,663t,663t.00,370202007,1208954011,Asthma causes daytime symptoms 1 to 2 times per month,1
1208955012,663u,663u.00,370203002,1208955012,Asthma causes daytime symptoms 1 to 2 times per week,1
1208956013,663v,663v.00,370204008,1208956013,Asthma causes daytime symptoms most days,1
1208957016,663r,663r.00,370205009,1208957016,Asthma causes night symptoms 1 to 2 times per month,1
1208958014,663x,663x.00,370206005,1208958014,Asthma limits walking on the flat,1
1208959018,663w,663w.00,370207001,1208959018,Asthma limits walking up hills or stairs,1
1208960011,663s,663s.00,370208006,1208960011,Asthma never causes daytime symptoms,1
1208969012,663V1,663V100,370218001,1208969012,Mild asthma,1
1208970013,663V2,663V200,370219009,1208970013,Moderate asthma,1
1208971012,663V0,663V000,370220003,1208971012,Occasional asthma,1
1208972017,663V3,663V300,370221004,1208972017,Severe asthma,1
1208977011,663n,663n.00,370226009,1208977011,Asthma treatment compliance satisfactory,1
1212342016,663q,663q.00,373899003,1212342016,Asthma daytime symptoms,1
1483199016,H330-1,H330.11,389145006,1483199016,Allergic asthma,1
350152014,H33zz-2,H33zz12,389145006,1483199016,Allergic asthma NEC,1
6512381000006116,^ESCTAT651238,,389145006,1493644014,Atopic asthma,1
660351000006118,H330,H330.00,389145006,1493645010,Allergic atopic asthma,1
885291000006115,H330-99,H330.99,389145006,885291000006115,Extrinsic asthma - atopy,1
1484905010,66Y5,66Y5.00,390872009,1484905010,Change in asthma management plan,1
1484910014,66Y9,66Y9.00,390877003,1484910014,Step up change in asthma management plan,1
1484911013,66YA,66YA.00,390878008,1484911013,Step down change in asthma management plan,1
1484953014,66YC,66YC.00,390921001,1484953014,Absent from work or school due to asthma,1
1484970018,66YE,66YE.00,390940007,1484970018,Asthma monitoring due,1
1488421017,66YJ,66YJ.00,394700004,1488421017,Asthma annual review,1
1488422012,66YK,66YK.00,394701000,1488422012,Asthma follow-up,1
1488436019,8B3j,8B3j.00,394720003,1488436019,Asthma medication review,1
1488722011,66YP,66YP.00,395022009,1488722011,Asthma night-time symptoms,1
6550131000006111,^ESCTNO655013,,395022009,2956617010,Nocturnal asthma,1
1780194017,178,178..00,400987003,1780194017,Asthma trigger,1
6648991000006117,^ESCTAS664899,,401135008,2576239017,Asthma education,1
1780378019,66YQ,66YQ.00,401182001,1780378019,Asthma monitoring by nurse,1
1780379010,66YR,66YR.00,401183006,1780379010,Asthma monitoring by doctor,1
1780388018,1O2,1O2..00,401193004,1780388018,Asthma confirmed,1
264550017,663U,663U.00,406162001,2157868010,Asthma management,1
929091000006111,1780,1780.00,407674008,2159273015,Aspirin-induced asthma,1
6782071000006115,^ESCTCO678207,,409663006,2471432015,Cough variant asthma,1
2533402016,8HTT,8HTT.00,415265005,2533402016,Referral to asthma clinic,1
7030311000006117,^ESCTIG703031,,424643009,2644386013,IgE-mediated allergic asthma,1
301499010,H330z,H330z00,424643009,2648327010,Extrinsic asthma,1
7062421000006112,^ESCTSE706242,,426656000,2674140012,Severe persistent asthma,1
7067211000006115,^ESCTMI706721,,426979002,2674138019,Mild persistent asthma,1
7071891000006112,^ESCTMO707189,,427295004,2674139010,Moderate persistent asthma,1
7076331000006112,^ESCTIN707633,,427603009,2674136015,Intermittent asthma,1
1118291000000110,38DL,38DL.00,443117005,2839948011,Asthma control test score,1
11929001000006115,^ESCT1192900,,443450003,2840124012,Asthma control test,1
7307941000006113,^ESCTSE730794,,445427006,2872543019,Seasonal asthma,1
7309651000006111,^ESCTAC730965,,445531003,1641601000000118,ACQ - Asthma control questionnaire,1
11929171000006110,^ESCT1192917,,445531003,2872440018,Asthma control questionnaire,1
1766051000006114,388t0,388t000,448003001,2900370011,Royal College of Physicians asthma assessment three questions score,1
1768981000000110,66Ys,66Ys.00,473391009,2956621015,Asthma never causes night symptoms,1
1176461000000114,8CMA0,8CMA000,527171000000103,1176461000000114,Patient has a written asthma personal action plan,1
1176501000000114,679J0,679J000,527191000000104,1176501000000114,Health education - asthma self management,1
1176541000000112,679J1,679J100,527211000000100,1176541000000112,Health education - structured asthma discussion,1
1739871000006114,679J2,679J200,527231000000108,1176581000000116,Health education - structured patient focused asthma discussion,1
104872017,H3300,H330000,63088003,104872017,Extrinsic asthma without status asthmaticus,1
13775501000006113,^ESCT1377550,,63088003,3754351017,Allergic asthma without status asthmaticus,1
7966291000006118,^ESCTIN796629,,641000119106,3041227011,Intermittent asthma well controlled,1
1139131000000117,9NNX,9NNX.00,698509001,2974554010,Under care of asthma specialist nurse,1
7510501000006115,^ESCTED751050,,698605001,2974969016,Education about asthma self management,1
7567071000006115,^ESCTAS756707,,702823004,3006258013,Asthma clinic,1
7618791000006110,^ESCTUN761879,,707511009,3032641014,Uncomplicated mild persistent asthma,1
7618811000006114,^ESCTUN761881,,707513007,3032636018,Uncomplicated severe persistent asthma,1
264565016,663d,663d.00,708358003,3033971010,Emergency asthma admission since last encounter,1
216186011,663m,663m.00,708373002,3034176014,Emergency asthma patient visit since last encounter,1
7688501000006112,^ESCTRE768850,,711442001,3078609015,Recent asthma management,1
21611000000113,9OJ,9OJ..00,713701000000108,1564941000000112,Asthma monitoring administration,1
16091000000110,9OJZ,9OJZ.00,713701000000108,1564941000000112,Asthma monitoring admin.NOS,1
26101000000112,9OJ-1,9OJ..11,713711000000105,1564951000000110,Asthma clinic administration,1
2423691000000114,66Yz5,66Yz500,715191006,3301824014,Telehealth asthma monitoring,1
2474332015,8CR0,8CR0.00,736056000,3516216012,Asthma clinical management plan,1
1753401000006117,66Yp,66Yp.00,754061000000100,1658781000000113,Asthma review using Royal College of Physicians three questions,1
11999511000006117,^ESCT1199951,,763077003,3637796013,ACQ (Asthma Control Questionnaire) score,1
1139011000000112,38DT,38DT.00,763077003,3637798014,Asthma Control Questionnaire score,1
11999521000006113,^ESCT1199952,,763078008,3637801015,Assessment using Asthma Control Questionnaire,1
1139051000000111,38DV,38DV.00,763695004,3643315013,Mini AQLQ (Asthma Quality of Life Questionnaire) score,1
1722421000000110,66Yq,66Yq.00,771901000000100,1722421000000110,Asthma causes night time symptoms 1 to 2 times per week,1
1722501000000119,66Yr,66Yr.00,771941000000102,1722501000000119,Asthma causes symptoms most nights,1
1722581000000112,663P0,663P000,771981000000105,1722581000000112,Asthma limits activities 1 to 2 times per month,1
1722651000000119,663P1,663P100,772011000000107,1722651000000119,Asthma limits activities 1 to 2 times per week,1
1722731000000116,663P2,663P200,772051000000106,1722731000000116,Asthma limits activities most days,1
13620311000006117,^ESCT1362031,,782559003,3754550015,Asthma never causes night symptoms,1
2115631000000117,661N1,661N100,810901000000102,2115631000000117,Asthma self-management plan review,1
1811901000006116,66Yu,66Yu.00,811151000000105,2116171000000118,Number of days absent from school due to asthma in past 6 months,1
2117771000000117,661M1,661M100,811921000000103,2117771000000117,Asthma self-management plan agreed,1
8263631000006115,^ESCTAS826363,,815631000000106,2125531000000112,Asthma trigger - wind,1
2131281000000114,ESCTAS6,,818161000000104,2131281000000114,Asthma trigger - perfume,1
13930321000006112,^ESCT1393032,,829976001,3880167016,Thunderstorm asthma,1
856031000006110,EMISASC1,,856031000006106,856031000006110,Asthma stable < 3 months,1
856041000006117,EMISASC2,,856041000006101,856041000006117,Asthma stable > 3 months,1
856051000006115,EMISASC3,,856051000006104,856051000006115,Asthma control unsatisfactory,1
8301271000006112,^ESCTNO830127,,867171000000106,2241191000000116,No asthma trigger identified by subject,1
2328001000000113,38QM,38QM.00,905301000000103,2328051000000114,Childhood Asthma Control Test score,1
905331000006118,HNG0007,,905331000006102,905331000006118,[RFC] Asthma,1
908841000006111,HNG0606,,908841000006107,908841000006111,[RFC] Asthma,1
12734271000006114,^ESCT1273427,,92161000000104,1607671000000114,QOF (Quality and Outcomes Framework) asthma quality indicator-related care invitation using preferred method of communication,1
1927091000006116,9OJB,9OJB.00,928451000000107,2379671000000115,Asthma monitoring invitation SMS (short message service) text message,1
2379801000000110,9OJC,9OJC.00,928511000000107,2379801000000110,Asthma monitoring invitation email,1
1947591000006113,9OJB0,9OJB000,959401000000101,2445551000000116,Asthma monitoring SMS (short message service) text message first invitation,1
1947601000006117,9OJB1,9OJB100,959421000000105,2445611000000116,Asthma monitoring SMS (short message service) text message second invitation,1
1947611000006119,9OJB2,9OJB200,959441000000103,2445651000000117,Asthma monitoring SMS (short message service) text message third invitation,1
2446671000000118,^ESCT1171175,,959901000000107,2446671000000118,Asthma action plan,1
970911000006110,EMISNQRE34,,970911000006106,970911000006110,Referral to Asthma clinic,1
